고객ID,성별,결제수단,거주지,회원등급,만족도,최근접속시간(시),선호제품군_적정온도,나이,구매수량,총결제금액
CUST_0001,남성,휴대폰결제,대구,Gold,2,1,27.0,34,7,760355
CUST_0002,여성,계좌이체,대구,Gold,5,15,24.6,20,42,727001
CUST_0003,여성,신용카드,광주,Gold,1,6,20.3,51,8,618787
CUST_0004,여성,계좌이체,서울,VVIP,5,20,16.8,19,29,434545
CUST_0005,여성,계좌이체,광주,Gold,3,6,23.5,53,45,604750
CUST_0006,기타,계좌이체,경기,Gold,4,22,22.0,22,18,554530
CUST_0007,남성,간편결제,광주,VIP,1,3,24.5,41,11,83149
CUST_0008,여성,신용카드,대구,VIP,3,10,23.2,70,37,523660
CUST_0009,여성,신용카드,대구,Bronze,2,12,25.2,25,36,58966
CUST_0010,여성,간편결제,부산,VVIP,2,15,17.3,27,49,792361
CUST_0011,기타,휴대폰결제,부산,VVIP,5,16,26.6,54,8,431520
CUST_0012,기타,간편결제,서울,Gold,1,22,21.0,64,39,890029
CUST_0013,남성,휴대폰결제,부산,Bronze,2,0,30.4,70,17,921552
CUST_0014,기타,계좌이체,광주,Gold,1,6,16.6,30,40,398607
CUST_0015,남성,신용카드,광주,VVIP,2,3,28.7,39,5,819567
CUST_0016,여성,간편결제,대구,Gold,1,4,21.0,69,45,653436
CUST_0017,기타,계좌이체,광주,VIP,1,0,16.7,62,28,461155
CUST_0018,여성,신용카드,경기,VVIP,3,16,17.6,39,33,99888
CUST_0019,기타,휴대폰결제,경기,VVIP,5,18,18.4,43,41,233063
CUST_0020,남성,휴대폰결제,대구,VVIP,2,20,22.1,45,2,464504
CUST_0021,여성,간편결제,부산,VIP,4,1,22.6,52,21,394725
CUST_0022,남성,신용카드,서울,Gold,1,2,17.1,60,39,429809
CUST_0023,여성,휴대폰결제,대구,Bronze,2,6,19.9,47,34,879440
CUST_0024,남성,간편결제,부산,VIP,3,20,30.7,67,8,60847
CUST_0025,남성,계좌이체,서울,VVIP,5,14,28.6,28,19,277701
CUST_0026,남성,휴대폰결제,광주,VVIP,4,3,22.2,51,16,15390
CUST_0027,기타,계좌이체,경기,VVIP,4,17,20.2,54,31,320138
CUST_0028,여성,계좌이체,부산,Gold,4,20,20.6,55,26,366391
CUST_0029,기타,간편결제,광주,Bronze,3,22,23.1,42,6,660734
CUST_0030,여성,신용카드,서울,VIP,4,6,14.9,68,12,422173
CUST_0031,기타,휴대폰결제,경기,Silver,4,12,18.7,51,19,10683
CUST_0032,여성,휴대폰결제,부산,Silver,4,7,11.7,26,46,384134
CUST_0033,남성,신용카드,광주,Gold,2,15,22.0,31,34,829939
CUST_0034,여성,신용카드,광주,VVIP,3,3,23.2,24,50,392621
CUST_0035,기타,간편결제,광주,Silver,5,13,17.6,58,5,960619
CUST_0036,여성,휴대폰결제,경기,Silver,1,22,27.9,24,40,317986
CUST_0037,기타,계좌이체,광주,Silver,2,1,13.9,56,21,675639
CUST_0038,여성,간편결제,부산,Bronze,4,19,12.7,37,41,425512
CUST_0039,여성,간편결제,경기,Bronze,4,1,21.1,40,49,275729
CUST_0040,여성,간편결제,부산,VIP,3,6,25.2,61,39,54086
CUST_0041,기타,계좌이체,서울,Silver,4,17,28.4,47,9,552761
CUST_0042,기타,계좌이체,대구,VVIP,1,3,17.7,33,29,662577
CUST_0043,남성,간편결제,경기,Gold,2,7,25.4,41,21,504754
CUST_0044,남성,간편결제,광주,Silver,2,16,19.8,45,29,653929
CUST_0045,기타,휴대폰결제,경기,Bronze,1,15,19.1,50,1,289659
CUST_0046,여성,계좌이체,부산,VVIP,5,23,24.4,46,11,137419
CUST_0047,기타,간편결제,경기,VIP,5,8,23.3,40,32,165415
CUST_0048,남성,계좌이체,경기,VIP,2,16,12.1,30,21,66992
CUST_0049,남성,휴대폰결제,광주,VVIP,2,19,27.4,46,38,744743
CUST_0050,여성,휴대폰결제,경기,Bronze,4,12,26.9,53,2,941918
CUST_0051,남성,간편결제,대구,Silver,3,4,16.9,26,13,952037
CUST_0052,여성,신용카드,부산,Gold,4,22,22.0,28,48,84403
CUST_0053,기타,계좌이체,부산,Bronze,4,18,22.5,55,11,163610
CUST_0054,여성,간편결제,광주,Gold,5,23,21.3,36,44,201040
CUST_0055,여성,계좌이체,부산,Bronze,3,14,17.2,32,27,134902
CUST_0056,여성,간편결제,부산,VIP,1,18,16.6,28,46,103873
CUST_0057,여성,간편결제,경기,Gold,5,1,19.9,59,43,640952
CUST_0058,여성,계좌이체,광주,Bronze,5,4,25.9,59,23,896106
CUST_0059,여성,휴대폰결제,대구,VIP,5,22,22.7,46,43,369354
CUST_0060,여성,휴대폰결제,경기,VVIP,1,23,18.1,61,42,526374
CUST_0061,기타,간편결제,부산,Silver,4,13,23.9,46,13,205097
CUST_0062,여성,간편결제,경기,Silver,5,20,5.8,44,13,610960
CUST_0063,남성,계좌이체,경기,Bronze,4,16,25.7,42,35,598627
CUST_0064,남성,휴대폰결제,서울,Silver,5,8,11.3,21,31,600510
CUST_0065,남성,휴대폰결제,부산,Silver,5,1,18.2,60,47,519011
CUST_0066,기타,계좌이체,경기,Silver,4,20,14.4,39,38,393653
CUST_0067,남성,휴대폰결제,광주,Silver,5,14,13.5,41,46,703365
CUST_0068,기타,간편결제,서울,VIP,1,20,25.8,46,8,655570
CUST_0069,남성,신용카드,부산,VVIP,1,7,17.7,24,20,311108
CUST_0070,기타,휴대폰결제,서울,VVIP,4,10,21.7,53,32,640881
CUST_0071,기타,간편결제,대구,VIP,5,9,19.8,31,10,560852
CUST_0072,기타,신용카드,부산,VVIP,3,1,22.4,51,39,83029
CUST_0073,여성,신용카드,대구,Bronze,2,9,20.4,68,43,988406
CUST_0074,기타,휴대폰결제,부산,Bronze,5,11,13.6,43,32,547705
CUST_0075,남성,휴대폰결제,대구,Silver,5,15,25.0,39,44,441329
CUST_0076,남성,계좌이체,대구,Bronze,2,22,17.5,29,9,213067
CUST_0077,여성,간편결제,경기,Bronze,1,18,12.2,49,43,430354
CUST_0078,남성,계좌이체,서울,Bronze,2,7,17.9,42,25,801571
CUST_0079,기타,간편결제,부산,VVIP,1,9,27.5,57,10,146751
CUST_0080,기타,신용카드,경기,Silver,2,16,24.3,49,44,552185
CUST_0081,기타,신용카드,서울,Bronze,5,21,18.3,45,46,78845
CUST_0082,여성,간편결제,광주,Silver,5,8,18.3,64,24,108700
CUST_0083,기타,휴대폰결제,서울,VVIP,4,3,18.4,65,20,283123
CUST_0084,기타,신용카드,서울,VIP,5,14,30.4,26,10,745107
CUST_0085,남성,간편결제,대구,Silver,2,23,21.9,44,46,756973
CUST_0086,남성,간편결제,광주,Bronze,5,6,22.2,47,27,260276
CUST_0087,기타,신용카드,광주,Gold,4,23,25.2,57,45,283993
CUST_0088,여성,신용카드,경기,Silver,1,17,21.2,28,24,695443
CUST_0089,여성,계좌이체,광주,Bronze,2,20,18.7,70,13,947787
CUST_0090,여성,신용카드,서울,VVIP,4,15,19.0,64,46,118189
CUST_0091,기타,휴대폰결제,부산,Bronze,4,23,19.6,30,12,396035
CUST_0092,여성,간편결제,광주,VIP,2,5,19.8,20,30,672739
CUST_0093,기타,신용카드,광주,Bronze,5,23,23.6,28,5,226264
CUST_0094,기타,계좌이체,광주,Silver,4,22,20.3,67,45,364207
CUST_0095,남성,신용카드,서울,Silver,5,14,23.7,64,29,489446
CUST_0096,기타,신용카드,대구,Silver,5,14,19.6,58,13,751846
CUST_0097,남성,간편결제,광주,Bronze,3,12,20.4,48,24,44427
CUST_0098,기타,간편결제,광주,Silver,3,22,10.0,63,22,555549
CUST_0099,여성,신용카드,대구,VIP,2,11,24.6,44,50,711766
CUST_0100,기타,계좌이체,경기,Gold,4,10,21.7,64,50,419551
CUST_0101,여성,신용카드,경기,Gold,1,0,25.0,33,4,246432
CUST_0102,남성,계좌이체,서울,Bronze,3,16,5.5,27,15,38505
CUST_0103,기타,휴대폰결제,부산,Gold,5,2,30.4,42,28,288312
CUST_0104,여성,휴대폰결제,서울,Silver,5,3,19.3,27,31,261656
CUST_0105,여성,간편결제,부산,VIP,4,15,25.5,46,17,496950
CUST_0106,기타,계좌이체,서울,VVIP,3,12,14.8,68,47,192691
CUST_0107,남성,신용카드,서울,VVIP,4,7,23.1,35,24,661393
CUST_0108,남성,신용카드,광주,VIP,5,6,14.7,64,48,487059
CUST_0109,여성,신용카드,서울,Bronze,4,12,16.9,48,15,146225
CUST_0110,여성,신용카드,경기,Silver,4,4,29.6,51,50,638920
CUST_0111,남성,계좌이체,서울,Gold,4,6,19.0,50,32,388228
CUST_0112,기타,계좌이체,서울,VVIP,3,7,21.1,29,35,15805
CUST_0113,기타,계좌이체,대구,Bronze,2,11,24.4,70,10,202292
CUST_0114,기타,신용카드,경기,VVIP,4,20,22.5,28,38,295033
CUST_0115,기타,휴대폰결제,경기,VVIP,3,14,20.8,65,21,830236
CUST_0116,기타,신용카드,대구,VIP,3,12,21.8,61,16,994030
CUST_0117,기타,휴대폰결제,경기,VIP,2,4,32.0,69,1,589353
CUST_0118,남성,신용카드,경기,Gold,3,4,19.7,61,36,661995
CUST_0119,남성,휴대폰결제,서울,Bronze,3,9,21.0,45,38,333502
CUST_0120,여성,휴대폰결제,부산,Gold,5,0,25.3,30,22,485861
CUST_0121,남성,신용카드,경기,Bronze,5,14,25.5,49,2,135279
CUST_0122,기타,휴대폰결제,부산,Bronze,4,6,25.9,49,9,287703
CUST_0123,여성,계좌이체,대구,VVIP,4,0,23.2,59,31,316309
CUST_0124,기타,간편결제,광주,Silver,3,20,14.3,63,44,345037
CUST_0125,기타,간편결제,대구,VIP,1,2,28.2,53,24,163717
CUST_0126,기타,간편결제,광주,VVIP,1,4,14.3,40,49,670591
CUST_0127,기타,계좌이체,서울,Gold,5,16,21.5,65,27,704250
CUST_0128,여성,휴대폰결제,대구,Bronze,1,18,16.2,46,11,223633
CUST_0129,남성,휴대폰결제,경기,Silver,4,20,19.7,20,39,705240
CUST_0130,기타,휴대폰결제,경기,Bronze,4,6,21.6,29,39,168839
CUST_0131,여성,계좌이체,경기,Gold,1,14,21.6,26,20,857005
CUST_0132,남성,계좌이체,경기,Silver,1,18,22.1,68,28,571095
CUST_0133,기타,휴대폰결제,광주,Bronze,5,15,28.1,34,8,31427
CUST_0134,남성,신용카드,서울,VIP,1,0,22.3,70,27,34375
CUST_0135,기타,신용카드,부산,Gold,3,19,18.8,45,34,628437
CUST_0136,여성,신용카드,경기,VIP,4,22,24.8,56,16,169760
CUST_0137,여성,계좌이체,서울,Bronze,2,8,25.9,39,28,469078
CUST_0138,여성,계좌이체,서울,Silver,4,12,13.9,41,44,755835
CUST_0139,여성,휴대폰결제,경기,VVIP,5,11,23.0,32,22,556546
CUST_0140,여성,신용카드,서울,Silver,3,9,23.5,62,30,278958
CUST_0141,여성,간편결제,광주,VIP,2,11,18.5,42,19,264950
CUST_0142,기타,계좌이체,서울,Bronze,5,0,26.9,24,8,281170
CUST_0143,기타,계좌이체,경기,Bronze,5,8,19.2,47,12,395715
CUST_0144,여성,계좌이체,광주,Gold,5,23,20.6,23,15,810220
CUST_0145,남성,신용카드,부산,VIP,1,3,19.1,55,39,98014
CUST_0146,기타,계좌이체,경기,VIP,1,18,20.1,39,16,425488
CUST_0147,기타,계좌이체,경기,Bronze,2,20,14.5,36,40,288549
CUST_0148,남성,계좌이체,광주,VIP,3,0,12.8,41,24,318230
CUST_0149,남성,신용카드,대구,Silver,2,8,28.0,39,19,109524
CUST_0150,기타,간편결제,광주,VIP,3,3,15.8,38,49,83014
CUST_0151,기타,간편결제,광주,Bronze,5,4,15.0,20,5,705842
CUST_0152,기타,신용카드,대구,Gold,5,18,9.2,70,18,458824
CUST_0153,여성,계좌이체,경기,VIP,2,8,16.8,29,31,223206
CUST_0154,여성,계좌이체,광주,Gold,2,5,13.4,36,25,639558
CUST_0155,기타,휴대폰결제,부산,VVIP,4,7,28.2,22,46,394219
CUST_0156,여성,계좌이체,서울,VIP,5,11,25.0,28,29,559079
CUST_0157,기타,계좌이체,경기,VVIP,2,6,16.6,28,4,303536
CUST_0158,여성,간편결제,광주,Bronze,4,11,31.3,19,43,873072
CUST_0159,남성,휴대폰결제,광주,Silver,4,17,24.9,29,28,766379
CUST_0160,남성,간편결제,대구,VIP,4,14,18.4,69,42,17951
CUST_0161,기타,휴대폰결제,경기,VIP,2,19,7.5,59,42,259135
CUST_0162,남성,간편결제,부산,Bronze,2,11,31.5,25,50,358083
CUST_0163,여성,신용카드,대구,Bronze,1,2,13.1,69,45,186431
CUST_0164,기타,계좌이체,광주,VIP,3,20,11.8,24,12,314392
CUST_0165,남성,간편결제,대구,Silver,5,7,25.1,55,12,234684
CUST_0166,여성,휴대폰결제,광주,Bronze,3,23,32.2,46,33,983810
CUST_0167,남성,휴대폰결제,광주,Silver,3,15,26.9,22,24,109249
CUST_0168,여성,계좌이체,서울,Gold,5,22,22.8,69,26,18560
CUST_0169,남성,계좌이체,경기,Silver,2,14,23.0,66,9,48833
CUST_0170,기타,신용카드,부산,VIP,1,11,24.3,42,1,123995
CUST_0171,기타,신용카드,서울,Silver,1,18,23.8,19,10,470799
CUST_0172,남성,간편결제,경기,Gold,1,23,21.4,46,33,907666
CUST_0173,남성,간편결제,부산,Gold,2,5,20.5,52,10,944705
